ShipX Product Code,ShipX Product Name,Category,Public,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,PT,
,,,, ? 20M, ? 30M, ? 40M, ? 70M, ? 120M,? 200M,< Revenue Threshold
,,,< 20M,< 30M,< 40M,< 70M, < 120M,< 200M,,
QSM,Economy — Standard,Economy,0.0%,1.5%,2.5%,3.0%,4.0%,6.0%,Contact Manager,
AME,Economy — Belgium Post,Economy,0.0%,1.5%,2.5%,3.0%,4.0%,6.0%,Contact Manager,
NLP,Economy — Dutch Post,Economy,0.0%,1.5%,2.5%,3.0%,4.0%,6.0%,Contact Manager,
MLP,Economy — Malaysia Post,Economy,0.0%,1.5%,2.5%,3.0%,4.0%,6.0%,Contact Manager,
YES,Economy — YUN Standard,Economy,0.0%,1.5%,2.5%,3.0%,4.0%,6.0%,Contact Manager,
YEC,Economy — YUN Cosmetics,Economy,0.0%,1.5%,2.5%,3.0%,4.0%,6.0%,Contact Manager,
YFU,Economy — YUN US Fast,Economy,0.0%,1.5%,2.5%,3.0%,4.0%,6.0%,Contact Manager,
CM-01,Direct US — B2C,Direct US,0.0%,1.5%,2.0%,2.5%,3.0%,4.0%,Contact Manager,
CM-02,Direct US — B2B2C,Direct US,0.0%,1.5%,2.0%,2.5%,3.0%,4.0%,Contact Manager,
LM-01,Last Mile — USPS (US dom.),Direct US,0.0%,1.5%,2.5%,3.0%,4.0%,6.0%,Contact Manager,
SPL,Commercial — Special Line,Commercial,0.0%,1.5%,2.5%,3.0%,4.0%,7.0%,Contact Manager,
DLV,Express — DHL Premium (VN),Express,0.0%,1.5%,2.5%,3.0%,5.0%,7.0%,Contact Manager,
DSG,Express — DHL Priority (SG),Express,0.0%,1.5%,2.5%,3.0%,5.0%,7.0%,Contact Manager,
DLM,Express — DHL Premium (MY),Express,0.0%,1.5%,2.5%,3.0%,5.0%,7.0%,Contact Manager,
FXE,Express — FedEx Economy (VN),Express,0.0%,1.5%,2.5%,3.0%,5.0%,7.0%,Contact Manager,
FXP,Express — FedEx Economy Slow,Express,0.0%,1.5%,2.5%,3.0%,5.0%,7.0%,Contact Manager,
FSG,Express — FedEx Regular (SG),Express,0.0%,1.5%,2.5%,3.0%,5.0%,7.0%,Contact Manager,
FXS,Express — FedEx Prime (SG),Express,0.0%,1.5%,2.5%,3.0%,5.0%,7.0%,Contact Manager,
USS,Express — UPS Saver (VN),Express,0.0%,1.5%,2.5%,3.0%,5.0%,7.0%,Contact Manager,
USE,Express — UPS Expedited (VN),Express,0.0%,1.5%,2.5%,3.0%,5.0%,7.0%,Contact Manager,
