,,,SG LINK
,,,"Address: 28 No.6 Street, Bay Hien Ward, Ho Chi Minh City, Vietnam"
,,,Hotline: 1900 633 027
,,,Website: www.sglink.vn
,,,
,FAST LINE US,,
Service Code: YFU,,,
Effective from: 02/03/2026,,,
,"Weight
(kg)","USA
(Central)","USA
(Remote)"
,0.05,"  152,000 ","  209,000 "
,0.10,"  168,000 ","  225,000 "
,0.15,"  190,000 ","  257,000 "
,0.20,"  207,000 ","  273,000 "
,0.25,"  245,000 ","  329,000 "
,0.30,"  261,000 ","  345,000 "
,0.35,"  307,000 ","  431,000 "
,0.40,"  324,000 ","  447,000 "
,0.45,"  340,000 ","  463,000 "
,0.50,"  468,000 ","  662,000 "
,0.60,"  501,000 ","  695,000 "
,0.70,"  533,000 ","  727,000 "
,0.80,"  565,000 ","  759,000 "
,0.90,"  597,000 ","  791,000 "
,1.00,"  673,000 ","  893,000 "
,1.10,"  705,000 ","  926,000 "
,1.20,"  738,000 ","  958,000 "
,1.30,"  770,000 ","  990,000 "
,1.40,"  838,000 ","  1,063,000 "
,1.50,"  870,000 ","  1,095,000 "
,1.60,"  903,000 ","  1,127,000 "
,1.70,"  935,000 ","  1,159,000 "
,1.80,"  967,000 ","  1,192,000 "
,1.90,"  1,018,000 ","  1,256,000 "
,2.00,"  1,050,000 ","  1,288,000 "
,2.10,"  1,082,000 ","  1,320,000 "
,2.20,"  1,114,000 ","  1,352,000 "
,2.30,"  1,175,000 ","  1,422,000 "
,2.40,"  1,208,000 ","  1,454,000 "
,2.50,"  1,240,000 ","  1,487,000 "
,3.00,"  1,417,000 ","  1,677,000 "
,3.50,"  1,591,000 ","  1,865,000 "
,4.00,"  1,769,000 ","  2,056,000 "
,4.50,"  1,949,000 ","  2,261,000 "
,5.00,"  2,155,000 ","  2,512,000 "
,5.50,"  2,337,000 ","  2,716,000 "
,6.00,"  2,520,000 ","  2,921,000 "
,6.50,"  2,703,000 ","  3,126,000 "
,7.00,"  2,887,000 ","  3,328,000 "
,7.50,"  3,068,000 ","  3,526,000 "
,8.00,"  3,251,000 ","  3,731,000 "
,8.50,"  3,433,000 ","  3,931,000 "
,9.00,"  3,626,000 ","  4,141,000 "
,9.50,"  4,105,000 ","  4,638,000 "
,10.00,"  4,647,000 ","  5,357,000 "
