,,,SG LINK
,,,"Address: 28 No.6 Street, Bay Hien Ward, Ho Chi Minh City, Vietnam"
,,,Hotline: 1900 633 027
,,,Website: www.sglink.vn
,,,
1. Transit time: 8-15 working days,,,
2. The above prices include 8% VAT. Orders with a value under 250 USD will not incur import taxes.,,,
3. Applicable to general goods,,,
"- Products with brand names; goods related to exclusive trademark ownership; and copyright-infringing products, including designs, trademarks, logos, international cartoon characters, such as club logos, associations, images, symbols, and other printed text items are not accepted.",,,
- Shipments with a value over 250 USD are not accepted.,,,
"- Food items, knives and sharp objects under control, liquids, powders, cosmetics, solid wood products or wood-containing items, and hazardous goods (e.g., lighters) are not accepted.",,,
4. This service does not include Proof of Delivery (POD),,,
5. Chargeable weight:,,,
"+ Volumetric weight: (Length × Width × Height) (cm) / 5,000",,,
+ Chargeable weight: the higher between actual weight and volumetric weight will be used for shipping cost calculation,,,
+ Maximum dimensions: 50 × 60 × 40 cm,,,
+ Minimum dimensions: 10 × 15 cm,,,
"6. Recipient name should not include company names such as GmbH, Kft, SRL, Ltd., etc. If such terms are present, customs may classify the shipment as B2B, leading to import tax charges.",,,
"7. In cases where shipments incur abnormal costs (including but not limited to taxes, penalties, destruction fees, etc.) due to incorrect declared value, prohibited goods, inaccurate declaration, or intellectual property violations, the final decision will be based on the destination customs authority, and all incurred costs will be charged back to the sender.",,,
8. Compensation policy,,,
"+ Compensation amount: based on declared goods value, maximum 650,000 VND per order",,,
+ Processing time: within 15 days from receipt of complete compensation claim documents,,,
9. Remote area zip codes,,,
,Zipcode,Province/ State,
,00600-00699,PR/VI,
,00700-00799,PR/VI,
,00800-00899,PR/VI,
,00900-00999,PR/VI,
,09000-09099,AE,
,09100-09199,AE,
,09200-09299,AE,
,09300-09399,AE,
,09400-09499,AE,
,09500-09599,AE,
,09600-09699,AE,
,09700-09799,AE,
,09800-09899,AE,
,09900-09999,AE,
,96200-96299,AP,
,96300-96399,AP,
,96400-96499,AP,
,96500-96599,AP,
,96600-96699,AP,
,96700-96799,HI,
,96800-96899,HI,
,96900-96999,MP/GU,
,97400-97499,OR,
,97500-97599,OR,
,97600-97699,OR,
,98800-98899,WA,
,98900-98999,WA,
,99500-99599,AK,
,99600-99699,AK,
,99700-99799,AK,
,99800-99899,AK,
,99900-99999,AK,
